연번,지방청,경찰서,관서명,경찰_주소,Latitude,Longitude,경찰_전화번호
10,중구,한방병원,가천대학교부속 길한방병원,"인천광역시 중구 큰우물로 21 (용동, 가천대학교부속 길한방병원 본관 2층, 6층,7층, 9층,10층 )",37.4737251,126.6313695,
11,중구,한방병원,영종명가한방병원,"인천광역시 중구 영종대로 94, 두림타워 6~8층 (운서동)",37.4948963,126.4895866,
12,중구,치과병원,슈어치과교정과치과병원,"인천광역시 중구 하늘중앙로225번길 3-0, 301302호 (중산동,영종M타워)",37.4881951,126.5584016,
13,중구,치과의원,예스서울치과의원,"인천광역시 중구 영종대로 184, 402호,403호 일부 (운서동)",37.4922781,126.4987905,
14,중구,치과의원,영종디지털치과의원,"인천광역시 중구 하늘별빛로 71, 타임프라자 202~203호 (중산동)",37.4895092,126.5632038,
15,중구,치과의원,하늘별빛어린이치과의원,"인천광역시 중구 자연대로 47, 스타타워2 506호 (중산동)",37.4888915,126.558809,
16,중구,치과의원,연세세브란스치과의원,"인천광역시 중구 우현로 93, 빙고,티월드,성신디지털카메라 2,3,4층 (인현동)",37.4750482,126.6308192,
17,중구,치과의원,영종웰치과의원,"인천광역시 중구 하늘달빛로 94, 대지스타타워 505, 506호 (중산동)",37.4873096,126.5574733,
18,중구,치과의원,운서조은사람치과의원,"인천광역시 중구 흰바위로 37, 영종프라자 401호 (운서동)",37.4927327,126.4890626,
19,중구,치과의원,THE착한치과의원,"인천광역시 중구 우현로39번길 4-2, 1,2층 (신포동)",37.4709616,126.6274031,
20,중구,치과의원,하늘퍼스트치과의원,"인천광역시 중구 하늘중앙로225번길 3, 영종M타워 202호 (중산동)",37.4881951,126.5584016,
21,중구,치과의원,영종국제치과의원,"인천광역시 중구 하늘별빛로65번길 7-9, 403호 (중산동)",37.4884886,126.5646288,
22,중구,치과의원,영종시카고치과교정과치과의원,"인천광역시 중구 하늘별빛로65번길 8-11, 메이채프라자 301~2호 (중산동)",37.4894554,126.5624175,
23,중구,치과의원,디지털타임치과의원,"인천광역시 중구 우현로 93-1, 5~6층 (인현동)",37.4751352,126.6307914,
24,중구,치과의원,서울THE좋은치과의원,"인천광역시 중구 하늘별빛로 59, 4층 (중산동)",37.4888165,126.5642423,
25,중구,치과의원,서울하늘치과의원,인천광역시 중구 운남로 168 (운남동),37.4925166,126.533433,
26,중구,치과의원,하늘리더스치과의원,"인천광역시 중구 하늘중앙로 193, 조양타워 5층 505호 (중산동)",37.4903756,126.5606395,
27,중구,치과의원,영종연세치과의원,"인천광역시 중구 하늘별빛로65번길 7-3, 2층 (중산동)",37.4890183,126.5639379,
28,중구,치과의원,하늘수치과의원,"인천광역시 중구 자연대로 47, 스타타워2 406호 (중산동)",37.4888915,126.558809,
29,중구,치과의원,Q-프라임치과의원,"인천광역시 중구 인항로 42, 3층 (신흥동3가)",37.4569827,126.6347845,
30,중구,치과의원,더본플란트치과의원,"인천광역시 중구 우현로 34, 4층 (답동)",37.4703487,126.6280581,
31,중구,치과의원,L아름다운치과의원,"인천광역시 중구 흰바위로 51, 3층 (운서동)",37.4926678,126.4912323,
32,중구,치과의원,굿모닝치과의원,"인천광역시 중구 참외전로 117-9, 2층 (인현동)",37.4759823,126.6312301,
33,중구,치과의원,상아플러스치과의원,"인천광역시 중구 우현로 75, 3층 (인현동)",37.4738945,126.6297209,
34,중구,치과의원,건치과의원,"인천광역시 중구 제물량로 65, 3층 (신흥동3가)",37.4659558,126.6349479,
35,중구,치과의원,이사랑치과의원,"인천광역시 중구 흰바위로 31, 3층 (운서동)",37.4927478,126.4884622,
36,중구,치과의원,더웰치과의원,"인천광역시 중구 인항로 34, 현대상가 304,405호 (신흥동3가)",37.4571662,126.6341119,
37,중구,치과의원,노블치과의원,"인천광역시 중구 흰바위로 41, 3층 (운서동)",37.4927218,126.4894934,
38,중구,치과의원,이플란트치과의원,"인천광역시 중구 신도시남로 137, 3층 (운서동)",37.4936582,126.490088,
39,중구,치과의원,김영열치과의원,"인천광역시 중구 운중로 19, 2층 (운남동)",37.4936787,126.5357411,
40,중구,치과의원,오영천치과의원,"인천광역시 중구 우현로 61, 2층 (내동)",37.4726469,126.6289466,
41,중구,치과의원,박선희치과의원,"인천광역시 중구 참외전로 134, 2층 (인현동)",37.4744365,126.6318007,
42,중구,치과의원,김경란치과의원,인천광역시 중구 연안부두로53번길 35 (항동7가),37.4528605,126.6043094,
43,중구,치과의원,최현수치과의원,인천광역시 중구 우현로 41-1 (신포동),37.4717219,126.6264141,
44,중구,치과의원,이규원치과의원,"인천광역시 중구 우현로 66, 3층 (용동)",37.4728526,126.6295917,
45,중구,치과의원,민영규치과의원,인천광역시 중구 축항대로86번길 38 (항동7가),37.4536963,126.6046089,
46,중구,치과의원,허형범치과의원,인천광역시 중구 우현로 37-1 (신포동),37.4714319,126.6261581,
47,중구,치과의원,정충근치과의원,"인천광역시 중구 우현로35번길 1, 2~3층 (신포동)",37.4704553,126.6275421,
48,중구,치과의원,김용운치과의원,인천광역시 중구 우현로 59 (내동),37.4736404,126.6275931,
49,중구,치과의원,황규동치과의원,인천광역시 중구 큰우물로 1 (경동),37.4720436,126.6315838,
50,중구,의원,영종 센트럴 이비인후과의원,"인천광역시 중구 흰바위로 258, 5층 (운남동)",37.4863057,126.4964584,
51,중구,의원,다시봄날의원,"인천광역시 중구 하늘중앙로195번길 21, 304~308호 (중산동)",37.4893799,126.5619473,
52,중구,의원,영종 더봄메디컬의원,"인천광역시 중구 흰바위로232번길 73, 태원프라자 3~4층 (운남동)",37.477525,126.5057258,
53,중구,의원,준메디컬의원,"인천광역시 중구 하늘중앙로195번길 21, 에스디메디칼 5층 509호 (중산동)",37.4893799,126.5619473,
54,중구,의원,예스삼성소아청소년과의원,"인천광역시 중구 영종대로 184, 영종예스타워복합상영관 4층 401호 (운서동)",37.4922781,126.4987905,
55,중구,의원,영종센트럴피부과의원,"인천광역시 중구 하늘중앙로 193, 조양타워 601호 (중산동)",37.4903756,126.5606395,
56,중구,의원,맑은하늘이비인후과의원,"인천광역시 중구 하늘중앙로 193, 조양타워 603호 (중산동)",37.4903756,126.5606395,
57,중구,의원,신세계안과의원,"인천광역시 중구 하늘중앙로 193, 405호 (중산동)",37.4903997,126.5607172,
58,중구,의원,예스피부과의원,"인천광역시 중구 영종대로 184, 영종예스타워복합상영관 4층 403 일부, 404, 405호 (운서동)",37.4922781,126.4987905,
59,중구,의원,인천웰빙내과의원,"인천광역시 중구 우현로 75, 눈편한안과,상아치과,포도나무약국 2층 (인현동)",37.473837,126.6297383,
60,중구,의원,이엠EM365의원,"인천광역시 중구 하늘달빛로 84, 4층 (중산동)",37.4867592,126.5581627,
61,중구,의원,장튼튼내과의원,"인천광역시 중구 하늘달빛로 94, 스타타워1 301~303호 (중산동)",37.4873732,126.5572912,
62,중구,의원,명지의료재단명지공항의원,"인천광역시 중구 공항로 271, 인천국제공항역(서편) (운서동)",37.4475951,126.4580803,
63,중구,의원,이원공항의원,"인천광역시 중구 공항로 271, 인천국제공항역 (운서동)",37.4475951,126.4580803,
64,중구,의원,스타소아청소년과의원,"인천광역시 중구 자연대로 47, 스타타워2 4층 407~410호 (중산동)",37.4888915,126.558809,
65,중구,의원,비앤씨의원,"인천광역시 중구 하늘중앙로225번길 3, 영종M타워 4,6(전층)층 5층 502호 (중산동)",37.4881951,126.5584016,
66,중구,의원,성모연합의원,"인천광역시 중구 우현로 41, 2층 (신포동)",37.4710933,126.628046,
67,중구,의원,하늘성모안과의원,"인천광역시 중구 자연대로 47, 스타타워2 502,503호 (중산동)",37.4888915,126.558809,
68,중구,의원,영종 따듯한 정신건강의학과의원,"인천광역시 중구 자연대로 47, 스타타워 501호 (중산동)",37.4887139,126.5589479,
69,중구,의원,오아시스의원,"인천광역시 중구 영종대로 881, 2층 201,202,203,204,205호 (중산동)",37.4852578,126.5613185,
70,중구,의원,키클소아청소년과의원,"인천광역시 중구 하늘별빛로65번길 8-11, 메이채프라자 401~2호 (중산동)",37.4894554,126.5624175,
71,중구,의원,서울연합의원,"인천광역시 중구 하늘중앙로195번길 14, 이은스퀘어 3층 304호 (중산동)",37.4893571,126.5608092,
72,중구,의원,에스오디21의원,"인천광역시 중구 하늘중앙로195번길 14, 이은스퀘어 302호 (중산동)",37.4893571,126.5608092,
73,중구,의원,장형주정신건강의학과의원,"인천광역시 중구 흰바위로 31, 에어로시티 304호 (운서동)",37.4927478,126.4884622,
74,중구,의원,하늘마디재활의학과의원,"인천광역시 중구 하늘별빛로65번길 8-11, 메이채프라자 5층 501,502호 (중산동)",37.4894554,126.5624175,
75,중구,의원,영종바른이비인후과의원,"인천광역시 중구 하늘달빛로 94, 스타타워 4층 405~6호 (중산동)",37.4873096,126.5574733,
76,중구,의원,하늘도시산부인과의원,"인천광역시 중구 하늘달빛로 94, 스타타워 5층 509,510,511호 (중산동)",37.4873096,126.5574733,
77,중구,의원,로하스의원,"인천광역시 중구 하늘달빛로 94, 스타타워 501,503,504호 (중산동)",37.4873096,126.5574733,
78,중구,의원,인천국제공항 제2공항의원,"인천광역시 중구 제2터미널대로 446, 지하1층 (운서동)",37.4686058,126.4336543,
79,중구,의원,아가파의원,"인천광역시 중구 흰바위로 31, 306호 (운서동, 에어로시티)",37.4927478,126.4884622,
80,중구,의원,영종삼성의원,"인천광역시 중구 영종대로 100 (운서동, 신성하우스빌 5층)",37.4948839,126.4900758,
81,중구,의원,연세공항의원,"인천광역시 중구 공항로424번길 66 (운서동, 엘지인천공항에클라트 비111호, 비112호 )",37.4387895,126.4618863,
82,중구,의원,튼튼소아청소년과의원,"인천광역시 중구 흰바위로 31 (운서동, 에어로시티 3층)",37.4927478,126.4884622,
83,중구,의원,하늘정형외과의원,"인천광역시 중구 하늘중앙로 193, 조양타워 6층(일부),7층 605호, 701호 (중산동)",37.4903997,126.5607172,
84,중구,의원,하늘메디컬의원,"인천광역시 중구 하늘중앙로 193, 조양타워 4층 401호 (중산동)",37.4903756,126.5606395,
85,중구,의원,편안내과의원,"인천광역시 중구 하늘별빛로 71, 4층 (중산동)",37.4895092,126.5632038,
86,중구,의원,수이비인후과의원,"인천광역시 중구 하늘별빛로 75, 3층 (중산동)",37.4897954,126.5627748,
87,중구,의원,영종연세안과의원,"인천광역시 중구 신도시남로 137 (운서동,화평빌딩 4층 (404, 405호))",37.4936582,126.490088,
88,중구,의원,인하국제의원,인천광역시 중구 공항로424번길 84 (운서동),37.4389585,126.4638684,
89,중구,의원,참이비인후과의원,"인천광역시 중구 흰바위로 41, 2층 (운서동)",37.4927218,126.4894934,
90,중구,의원,열린이비인후과의원,"인천광역시 중구 우현로 75 (인현동,명훈빌딩 5층)",37.4737471,126.6305405,
91,중구,의원,운서성모정형외과의원,"인천광역시 중구 영종대로 106, 2층 (운서동)",37.4948625,126.4908947,
92,중구,의원,다본안과의원,"인천광역시 중구 우현로 47, 2~3층 (신포동)",37.4710789,126.6266826,
93,중구,의원,해맑은의원,"인천광역시 중구 신도시남로 137, 4층 (운서동)",37.4936582,126.490088,
94,중구,의원,모아연합소아청소년과의원,"인천광역시 중구 흰바위로 51, 3층 (운서동)",37.4926678,126.4912323,
95,중구,의원,온누리내과의원,"인천광역시 중구 신도시남로 137, 2~3층 (운서동)",37.4936582,126.490088,
96,중구,의원,김훈수내과의원,"인천광역시 중구 제물량로 65, 3층 (신흥동3가)",37.4659558,126.6349479,
97,중구,의원,연세참가정의학과의원,"인천광역시 중구 우현로 47, 4층 (신포동)",37.4715093,126.6281512,
98,중구,의원,아이본산부인과의원,인천광역시 중구 참외전로 160-1 (경동),37.4729748,126.6342096,
99,중구,의원,연세비뇨기과의원,"인천광역시 중구 우현로 86, 2층 (인현동)",37.4744109,126.6308013,
100,중구,의원,신제일산부인과의원,"인천광역시 중구 신도시남로 137, 화평빌딩 4층 401,402호 (운서동)",37.4936582,126.490088,
101,중구,의원,베스트이비인후과의원,"인천광역시 중구 신도시남로 137 (운서동,화평빌딩 207호,208호일부)",37.4936582,126.490088,
102,중구,의원,신흥메디칼의원,인천광역시 중구 도원로7번길 11 (신흥동3가),37.4655382,126.6357951,
103,중구,의원,주내과의원,"인천광역시 중구 흰바위로 31, 2층 (운서동)",37.4927478,126.4884622,
104,중구,의원,유밸안과의원,"인천광역시 중구 우현로 90, 유타워, 유밸 눈편한안과 4,5,6층 (인현동)",37.4745847,126.6311452,
105,중구,의원,인천국제공항의원,인천광역시 중구 공항로 272 (운서동),37.4794888,126.4409139,
106,중구,의원,고정선정신건강의학과의원,"인천광역시 중구 참외전로 134, 3,4층 (인현동)",37.4744365,126.6318007,
107,중구,의원,서울외과의원,"인천광역시 중구 운남로 167, 2~3층 (운남동)",37.4926071,126.5329088,
108,중구,의원,삼성내과의원,"인천광역시 중구 서해대로 476, 우정빌딩 1층 (유동)",37.468374,126.6361427,
109,중구,의원,신포김내과의원,"인천광역시 중구 우현로39번길 2, 2층 (신포동)",37.4709424,126.6278437,
110,중구,의원,금강정형외과의원,인천광역시 중구 서해대로494번길 1 (유동),37.4698636,126.6370769,
111,중구,의원,연안의원,인천광역시 중구 연안부두로33번길 16 (항동7가),37.4542288,126.6038607,
112,중구,의원,송재현가정의원,인천광역시 중구 연안부두로33번길 36 (항동7가),37.4535772,126.6057774,
113,중구,의원,윤비뇨기과의원,"인천광역시 중구 우현로 90-1, 3층 (인현동)",37.4747537,126.6311637,
114,중구,의원,피터팬소아청소년과의원,"인천광역시 중구 하늘달빛로 94, 408호 (중산동)",37.4873096,126.5574733,
115,중구,의원,이재준내과의원,인천광역시 중구 축항대로86번길 38 (항동7가),37.4536963,126.6046089,
116,중구,의원,정원진성형외과의원,"인천광역시 중구 개항로 64, 2층 (경동)",37.4720298,126.629624,
117,중구,의원,김원택성형외과의원,인천광역시 중구 우현로 34 (답동),37.4698039,126.6292298,
118,중구,의원,김의원,인천광역시 중구 우현로 61-1 (내동),37.4727586,126.6289261,
119,중구,의원,더리셋의원,"인천광역시 중구하늘별빛로 75, 로얄페스타 302",37.4897954,126.5627748,
120,중구,한의원,하늘부부한의원,"인천광역시 중구 하늘중앙로 193, 조양타워 307~8호 (중산동)",37.4903756,126.5606395,
121,중구,한의원,늘 365한의원 영종스카이점,"인천광역시 중구 하늘별빛로65번길 8-13, 금산빌딩 3층 (중산동)",37.4896086,126.5621879,
122,중구,한의원,압구정미한의원,"인천광역시 중구 하늘달빛로 94, 304호 (중산동)",37.4873096,126.5574733,
123,중구,한의원,하늘튼튼한의원,"인천광역시 중구 자연대로 47, 스타타워 2 504,505호 (중산동)",37.4888915,126.558809,
124,중구,한의원,영종한의원,"인천광역시 중구 하늘달빛로 94, 스타타워 4층 403호 (중산동)",37.4873096,126.5574733,
125,중구,한의원,단비한의원,"인천광역시 중구 하늘별빛로 71, 3층 (중산동)",37.4895092,126.5632038,
126,중구,한의원,중국한의원,인천광역시 중구 제물량로133번길 1 (답동),37.4691841,126.6290562,
127,중구,한의원,국순당한의원,인천광역시 중구 참외전로37번길 1 (송월동1가),37.4798276,126.6242162,
128,중구,한의원,운서한의원,"인천광역시 중구 흰바위로 236, 307호 (운남동)",37.4863057,126.4964584,
129,중구,한의원,경성한의원,"인천광역시 중구 제물량로 65, 2층 (신흥동3가)",37.4659558,126.6349479,
130,중구,한의원,미소한의원,"인천광역시 중구 신도시남로 137, 3층 (운서동)",37.4936582,126.490088,
131,중구,한의원,청송한의원,"인천광역시 중구 운중로 22, 2층 (운남동)",37.4932418,126.5355227,
132,중구,한의원,행림한의원,"인천광역시 중구 흰바위로 31, 3층 (운서동)",37.4927478,126.4884622,
133,중구,한의원,동의보감한의원,"인천광역시 중구 우현로 41-1, 2층 (신포동)",37.4712126,126.6280143,
134,중구,한의원,형제한의원,인천광역시 중구 서해대로 474 (신흥동2가),37.4662512,126.6338835,
135,중구,한의원,한국한의원,"인천광역시 중구 축항대로86번길 38, 1동 2층 (항동7가, 라이프상가)",37.4536963,126.6046089,
136,중구,한의원,혜화당한의원,인천광역시 중구 연안부두로33번길 36 (항동7가),37.4535772,126.6057774,
137,중구,한의원,필한의원,인천광역시 중구 우현로39번길 4-1 (신포동),37.4709613,126.6274789,
138,중구,보건소,인천광역시중구보건소,인천광역시 중구 참외전로72번길 21 (전동),37.4770729,126.6289759,
139,중구,보건지소,인천광역시중구영종보건지소,인천광역시 중구 운남서로 100-1 (운남동),37.4938542,126.531458,
140,중구,보건지소,인천광역시중구용유보건지소,인천광역시 중구 마시란로 308-13 (남북동),37.4438667,126.4025505,
141,중구,보건진료소,인천광역시중구무의보건진료소,"인천광역시 중구 대무의로 310-11 (무의동, 무의보건진료소)",37.3896856,126.424834,
142,동구,의원,오정형외과의원,"인천광역시 동구 운교로 7, 1층 (화수동)",37.4797831,126.6281493,
143,동구,의원,서울권이비인후과의원,"인천광역시 동구 송현로 25, 동인천역코아루시티 2층 201호 (송현동)",37.4787082,126.6350078,
144,동구,의원,서울100세의원,"인천광역시 동구 송림로 80, 송림센트럴타워 2,3층 (송림동)",37.4752803,126.6437627,
145,동구,의원,척척의원,"인천광역시 동구 송미로 7, 3층 (송림동)",37.4810114,126.6475031,
146,동구,의원,서울튼튼정형외과의원,"인천광역시 동구 샛골로 151, 씨티은행 1층 (송림동)",37.4761883,126.6440561,
147,동구,의원,연세도레미소아청소년과의원,"인천광역시 동구 송현로 47, 2층 (송현동)",37.480146,126.6366825,
148,동구,의원,행복세란의원,"인천광역시 동구 송화로44번길 13-1 (송현동, 금학빌딩)",37.4803668,126.6337035,
149,동구,의원,박영훈내과의원,"인천광역시 동구  송림로  113, 3층 (송림동)",37.4768924,126.6472141,
150,동구,의원,서울정형외과의원,"인천광역시 동구 샛골로 159, 2,3,4층 (송림동)",37.476627,126.6445667,
151,동구,의원,봄소아청소년과의원,인천광역시 동구 송미로 7 (송림동),37.4810114,126.6475031,
152,동구,의원,마디정형외과의원,인천광역시 동구 수문통로 7 (화평동),37.4774586,126.6317014,
153,동구,의원,선항외과의원,"인천광역시 동구 송림로 96, 9층 1호 (송림동, 송림메디칼)",37.4757625,126.6453389,
154,동구,의원,송림본마취통증의학과의원,"인천광역시 동구 송림로 96, 4층 (송림동)",37.4757625,126.6453389,
155,동구,의원,송림이비인후과의원,"인천광역시 동구 송림로 96, 3층 302호 (송림동, 송림메디칼빌딩)",37.4757625,126.6453389,
156,동구,의원,비타민내과의원,"인천광역시 동구 화도진로 109, 204호",37.48119,126.6275529,
157,동구,의원,동인천푸른세상안과의원,"인천광역시 동구 송림로 96, 701,2호 (송림동, 송림메디칼빌딩)",37.4757625,126.6453389,
158,동구,의원,예나산부인과의원,"인천광역시 동구 송림로 96, 601호 (송림동, 송림메디칼빌딩)",37.4757625,126.6453389,
159,동구,의원,모세정형외과의원,인천광역시 동구 송림로 102-1 (송림동),37.4759963,126.6461346,
160,동구,의원,튼튼정형외과의원,인천광역시 동구 수문통로 54-1 (송현동),37.4803273,126.6356138,
161,동구,의원,굿모닝정형외과의원,인천광역시 동구 송림로 76 (송림동),37.4750964,126.6432542,
162,동구,의원,굿모닝내과의원,"인천광역시 동구 송림로 76, 1층, 3층 (송림동)",37.4750964,126.6432542,
163,동구,의원,연세제일의원,"인천광역시 동구 송림로 10 (금곡동, 연세제일의원)",37.4729013,126.6364777,
164,동구,의원,대동의원,인천광역시 동구 동산로 86-2 (송림동),37.4750847,126.6455899,
165,동구,의원,미르비뇨기과의원,"인천광역시 동구 송림로 96, 301호 (송림동, 송림메디칼빌딩)",37.4757625,126.6453389,
166,동구,의원,연세성모의원,"인천광역시 동구 화도진로 183, 2층 (만석동)",37.485216,126.621237,
167,동구,의원,우리내과의원,"인천광역시 동구 송림로 91, 3,4층 (송림동, 동우빌딩)",37.4762927,126.6450812,
168,동구,의원,화수성심의원,"인천광역시 동구 화수로 43, 2층 (화수동)",37.4826983,126.6331109,
169,동구,의원,서울이비인후과의원,인천광역시 동구 송림로 91 (송림동),37.4762927,126.6450812,
170,동구,의원,이현우메디칼의원,인천광역시 동구 화도진로 137 (만석동),37.4829621,126.626639,
171,동구,의원,동인천내과의원,"인천광역시 동구 송현로 1, 104호 (송현동, 송현프라자)",37.4770494,126.6333347,
172,동구,의원,세강정형외과의원,인천광역시 동구 화도진로 38-1 (송현동),37.4762055,126.6342264,
173,동구,의원,복음의원,인천광역시 동구 송림로 73-1 (송림동),37.4755773,126.6429401,
174,동구,의원,동부제일의원,"인천광역시 동구 화수로 18, 303호 (송현동, 동부센트레빌 상가)",37.4822668,126.6353459,
175,동구,의원,윤종길내과의원,"인천광역시 동구 송림로 96, 303호 (송림동, 송림메디칼빌딩)",37.4757625,126.6453389,
176,동구,의원,김의원,"인천광역시 동구 송림로 83, 1층 (송림동)",37.4758582,126.6439423,
177,동구,의원,권의원,인천광역시 동구 샛골로 142 (송림동),37.4749647,126.6446373,
178,동구,의원,신오범이비인후과의원,인천광역시 동구 샛골로 155 (송림동),37.4763935,126.6445163,
179,동구,의원,동인의원,"인천광역시 동구 수문통로 58, 2,3층 (송현동)",37.4804633,126.6357525,
180,동구,의원,황호연산부인과의원,인천광역시 동구 샛골로 188 (송림동),37.4790515,126.6455985,
181,동구,의원,이영우내과의원,인천광역시 동구 송현로16번길 10-1 (송현동),37.4773186,126.634414,
182,동구,치과의원,뿌리앤치과의원,"인천광역시 동구 송림로110번길 5-9, 3층 (송림동)",37.4763523,126.6474016,
183,동구,치과의원,비에스치과의원,"인천광역시 동구 샛골로 212, 2,3층 (송림동)",37.4814847,126.6460244,
184,동구,치과의원,엠플러스치과의원,"인천광역시 동구 송림로 113, 3층 (송림동, 송영빌딩)",37.4768924,126.6472141,
185,동구,치과의원,친절한홍치과의원,인천광역시 동구 송현로 1(송현프라자),37.4770557,126.633244,
186,동구,치과의원,미드림치과의원,"인천광역시 동구 송현로 4, 2층 (송현동)",37.4767812,126.6336893,
187,동구,치과의원,현대치과의원,"인천광역시 동구 송림로 100, 3층 (송림동)",37.4759337,126.6459219,
188,동구,치과의원,백치과의원,"인천광역시 동구 샛골로210번길 9, 황금플라자 4층 401~2호 (송림동)",37.480873,126.6466485,
189,동구,치과의원,송림푸른하늘치과의원,"인천광역시 동구 송미로 7, 2층 (송림동)",37.4810114,126.6475031,
190,동구,치과의원,젠치과의원,인천광역시 동구 송현로 9 (송현동),37.4775132,126.6338469,
191,동구,치과의원,서울수치과의원,"인천광역시 동구 송림로 96, 401호 (송림동, 송림메디칼빌딩)",37.4757625,126.6453389,
192,동구,치과의원,솔빛치과의원,"인천광역시 동구 송현로 38, 201호 (송현동, 송현프라자)",37.4791161,126.6362123,
193,동구,치과의원,세정굿모닝치과의원,인천광역시 동구 수문통로 54-1 (송현동),37.4803273,126.6356138,
194,동구,치과의원,양치과의원,"인천광역시 동구 송림로 108, 2층 (송림동)",37.4761756,126.6467566,
195,동구,치과의원,화수치과의원,"인천광역시 동구 운교로 15 (화수동, 중구농협)",37.4804149,126.6284472,
196,동구,치과의원,스마일치과의원,"인천광역시 동구 화도진로 16, 211~212호",37.4808496,126.6287906,
197,동구,치과의원,중앙치과의원,인천광역시 동구 샛골로 169 (송림동),37.4775902,126.6447337,
198,동구,치과의원,백송치과의원,"인천광역시 동구 방축로 105, C동 212호 (송림동, 산업유통센터편익상가)",37.4846886,126.6576698,
199,동구,치과의원,송림치과의원,인천광역시 동구 송림로 101 (송림동),37.4764461,126.6458313,
200,동구,치과의원,세림치과의원,"인천광역시 동구 송림로 102-1, 3층 (송림동)",37.4759963,126.6461346,
201,동구,치과의원,최재혁치과의원,"인천광역시 동구 샛골로 120 (송림동, 천광빌딩)",37.4730025,126.6442591,
202,동구,치과의원,한울치과의원,"인천광역시 동구 화수로 38, 301호 (송현동, 동부프라자)",37.4810947,126.6355054,
203,동구,치과의원,남치과의원,"인천광역시 동구 봉수대로 98, A/302-1호 (송림동, 송림동공구상가)",37.4840223,126.6613519,
204,동구,치과의원,동인천치과의원,인천광역시 동구 송화로 3 (화평동),37.4776352,126.6308953,
205,동구,치과의원,김윤태치과의원,인천광역시 동구 화도진로 35 (송현동),37.4757542,126.6340706,
206,동구,치과의원,이흥우치과의원,"인천광역시 동구 동산로 84-1, 이흥우치과의원 (송림동)",37.474895,126.6457002,
207,동구,치과의원,남포치과의원,"인천광역시 동구 송림로 24, 304-1호 (금곡동, 두손빌딩)",37.4731181,126.6378432,
