순번,단지명,회사명,시군구,공장대표주소(도로명),Latitude,Longitude,전화번호,종업원수,대표업종번호,업종번호,업종명,생산품
286,,티에스사료(주),중구,"인천광역시 중구 월미로 181 (북성동1가, 대한제당㈜)",37.4785459,126.6039801,032-218-1601,85,10801,10801,배합 사료 제조업,사료
287,,아바테크,중구,인천광역시 중구 축항대로296번길 60-20 (신흥동3가),37.4433578,126.6273442,032-274-3077,4,29294,"28519, 29294",주형 및 금형 제조업 외 1 종,"프레스금형, 온수기"
288,,(주)유니이노베이션,중구,인천광역시 중구 백운로457번길 25-2 (운북동),37.5114082,126.5133585,032-322-8815,2,28519,28519,기타 가정용 전기기기 제조업,건강버블목욕기
289,,(주)매쉬플러스,중구,인천광역시 중구 항동7가 58-164번지 외 2필지,37.4503835,126.6010118,032-428-5311,7,16103,16103,"목재 보존, 방부처리, 도장 및 유사 처리업","하이그로시 UV, LPM접착가공"
290,,(주)케네시로렌스코리아,중구,인천광역시 중구 축항대로291번길 34-2 (신흥동3가),37.4507465,126.6296852,032-429-7771,10,13223,13223,커튼 및 유사제품 제조업,블라인드
291,,(주)대영테크,중구,인천광역시 중구 항동7가 104-22번지,37.4396164,126.6175191,032-446-5206,9,29142,29142,기어 및 동력전달장치 제조업,감속기 및 기어류
292,,(주)인천일보,중구,"인천광역시 중구 인중로 226 (항동4가, 인천일보사)",37.4714033,126.6205122,032-452-0125,105,18111,"18111, 18113, 18119",경 인쇄업 외 2 종,인쇄물
293,,(주)케이제이인더스트리,중구,인천광역시 중구 축항대로211번길 13 (항동7가),37.4527379,126.6197267,032-508-4230,67,16231,"16231, 16232, 25923, 25995, 25999",목재 깔판류 및 기타 적재판 제조업 외 4 종,"목재파렛트, 목상자, 철재파렛트, 도장"
294,,(주)케이티엔씨,중구,"인천광역시 중구 서해대로180번길 27(신흥동3가, (주)폴젠코리아)",37.4433557,126.6249751,032-511-4711,0,24199,24199,그 외 기타 1차 철강 제조업,기계부품 및 절삭공구 홀더
295,,화남기계,중구,인천광역시 중구 축항대로296번길 56-46(신흥동3가),37.4446287,126.6259097,032-516-7274,2,29193,29193,분사기 및 소화기 제조업,무인기관실용 자동소화장치
296,,현대공영(주),중구,인천광역시 중구 서해대로 114 (신흥동3가),37.4429093,126.626175,032-575-4051,13,23324,"23324, 23325","콘크리트 타일, 기와, 벽돌 및 블록 제조업 외 1 종","방파제, 방파제벽돌"
297,,주식회사 신영수산,중구,인천광역시 중구 연안부두로75번길 4 (항동7가) 3층 1호,37.4526628,126.5986921,032-713-8010,3,10219,10219,기타 수산동물 가공 및 저장 처리업,수산물 가공품
298,,주식회사 와이비씨푸드,중구,인천광역시 중구 연안부두로75번길 4 (항동7가) 3층 2호 외 1필지,37.4526628,126.5986921,032-716-5444,1,10219,10219,기타 수산동물 가공 및 저장 처리업,수산물 가공품
299,,주식회사 브릴스(BRILS Crop.),중구,인천광역시 중구 축항대로296번길 56-22(신흥동3가),37.4439924,126.6276911,032-721-4760,24,27215,27215,기기용 자동측정 및 제어장치 제조업,"로봇제조자동화시스템, 로봇물류자동화시스템, 로봇검사자동화시스템 등"
300,,인천국제공항공사(신공항레미콘(주)),중구,인천광역시 중구 운서동 2863-2번지,37.4695092,126.4507804,032-741-2242,16,23322,23322,레미콘 제조업,레미콘
301,,인천국제공항공사(신공항아스콘(주)),중구,"인천광역시 중구 영종해안북로702번길 115-96 (운서동, 쌍용양회공업(주))",37.4877235,126.4511373,032-741-2242,11,23991,23991,아스팔트 콘크리트 및 혼합제품 제조업,아스콘
302,,인천국제공항공사(쌍용레미콘(주)),중구,인천광역시 중구 운서동 2863-2번지,37.4695092,126.4507804,032-741-2242,15,23322,23322,레미콘 제조업,레미콘
303,,인천국제공항공사(영종아스콘(주)),중구,"인천광역시 중구 영종해안북로 970, 외 5필지 (운서동)",37.4872745,126.4253026,032-741-2242,8,23991,23991,아스팔트 콘크리트 및 혼합제품 제조업,아스콘
304,,인천국제공항공사(부흥콘크리트),중구,인천광역시 중구 운서동 2626번지 외 1필지,37.4695092,126.4507804,032-741-5749,50,23325,23325,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업,"Ditch Box, 배수암거, 우수집수조, U형 측구"
305,,샤프도앤코코리아 유한회사,중구,인천광역시 중구 공항동로465번길 108 (운서동),37.4829936,126.4498123,032-744-1371,110,10751,"10751, 10759",도시락류 제조업 외 1 종,즉석도시락
306,,엘에스지스카이셰프코리아(주),중구,"인천광역시 중구 공항동로465번길 108(운서동, 엘에스지스카이셰프)",37.4829936,126.4498123,032-744-5220,829,10751,"10751, 10759",도시락류 제조업 외 1 종,기내식
307,,주식회사 엘림기전,중구,"인천광역시 중구 운중로 140-26 (중산동, 1동)",37.4936947,126.5496212,032-746-3333,7,28111,"28111, 29131",전동기 및 발전기 제조업 외 1 종,"발전기, 엔진양수기, 수중펌프"
308,,진성정보시스템(주),중구,인천광역시 중구 운남로 64-23 (운남동),37.4833834,126.5343541,032-751-0702,3,26421,26421,방송장비 제조업,보안용카메라
309,,주식회사 디오씨,중구,인천광역시 중구 우현로72번길 6 (용동),37.4732038,126.6301873,032-764-3500,3,28123,"28111, 28123, 28422, 28903",배전반 및 전기 자동제어반 제조업 외 3 종,"LED조명기구, 자동점멸기, 태양광가로등"
310,,대한사료(주),중구,"인천광역시 중구 북성포길 13 (북성동1가, 대한사료공업(주))",37.4819417,126.6161209,032-770-1110,138,10801,"10801, 10802",배합 사료 제조업 외 1 종,사료
311,,대한제당(주),중구,"인천광역시 중구 월미로 116 (북성동1가, 대한제당㈜)",37.4774339,126.6058416,032-770-1400,139,10620,"10620, 10720, 10792, 10802",전분제품 및 당류 제조업 외 3 종,"설탕, 당밀"
312,,지에스칼텍스(주) 윤활유공장,중구,인천광역시 중구 월미로 182 (북성동1가),37.479918,126.6015801,032-770-2801,4,19221,19221,윤활유 및 그리스 제조업,윤활유
313,,"(주)선앤엘(SUN&L Co., Ltd.) 포르마린공장",중구,인천광역시 중구 월미로 198(북성동1가),37.4782144,126.6010775,032-770-3000,24,20119,20119,석탄화학계 화합물 및 기타 기초 유기 화학물질 제조업,포르마린
314,,"(주)선앤엘(SUN&L Co., Ltd.)",중구,"인천광역시 중구 월미로 96, 외4필지 (북성동1가)",37.4754003,126.5978148,032-770-3021,307,16101,"16101, 16211, 32029",일반 제재업 외 2 종,"가구,목재,각재"
315,,"(주)선앤엘(SUN&L Co., Ltd.) M.D.F공장",중구,"인천광역시 중구 월미로 78 (북성동1가, MDF제2공장) 외 2필지",37.4789092,126.6108668,032-770-3021,136,16212,16212,강화 및 재생 목재 제조업,강화재생목재
316,,대한제분(주),중구,"인천광역시 중구 월미로 50 (북성동1가, 대한제분(기타부속건물))",37.4791779,126.6148685,032-770-3300,166,10612,"10612, 10613, 10749",곡물 제분업 외 2 종,밀가루
317,,동화기업(주),중구,인천광역시 중구 월미로 164 (북성동1가),37.483487,126.6060964,032-770-9312,407,16212,"16102, 16211, 16212, 20119",강화 및 재생 목재 제조업 외 3 종,PB
318,,(주)경화,중구,인천광역시 중구 제물량로232번안길 23 (중앙동1가),37.4738334,126.6200052,032-772-0077,8,33910,"25112, 25113, 33910",간판 및 광고물 제조업 외 2 종,"광고물, 간판 등"
319,,신광인쇄사,중구,인천광역시 중구 중앙동2가 19번지,37.4726804,126.6214012,032-772-2911,3,18119,"18113, 18119",기타 인쇄업 외 1 종,인쇄물
320,,으뜸아이에스 주식회사,중구,"인천광역시 중구 서해대로483번길 39, 1층 (율목동)",37.4705539,126.6344594,032-777-9002,5,26421,26421,방송장비 제조업,CCTV카메라
321,,한국정공,중구,인천광역시 중구 신흥동3가 42-35번지,37.4429119,126.626283,032-811-0358,4,29229,29229,기타 가공 공작기계 제조업,"지그정반, 근형플레이트, 프레스다이 등"
322,,벤다선광공업(주),중구,인천광역시 중구 항동7가 104-19번지 외 4필지,37.443622,126.620144,032-811-8424,288,30399,30399,그 외 자동차용 신품 부품 제조업,플라이휠 링기어
323,,한성정공,중구,인천광역시 중구 서해대로 167 (항동7가) 외 2필지,37.4433347,126.6189873,032-812-7406,16,29294,29294,주형 및 금형 제조업,"금형, 드라이브 플레이트(자동차부품)"
324,,미산네트워크,중구,인천광역시 중구 신흥동3가 43-41번지,37.444556,126.6274026,032-814-4510,11,22299,22299,그 외 기타 플라스틱 제품 제조업,사무용가구부품
325,,신한철강공업(주),중구,"인천광역시 중구 축항대로296번길 156 (신흥동3가, 신한철광공업㈜)",37.4353358,126.6242504,032-815-3100,35,24132,"24132, 24133",강관 제조업 외 1 종,"선박부분품, 강관"
326,,웰토,중구,인천광역시 중구 서해대로93번길 14-9 (항동7가),37.4389855,126.6159771,032-815-5091,7,33401,33401,인형 및 장난감 제조업,아동용 공예점토(클레이)
327,,(주)와이티지정공,중구,인천광역시 중구 축항대로296번길 60-34 (신흥동3가),37.4438575,126.6260738,032-815-5303,10,29142,29142,기어 및 동력전달장치 제조업,산업용 감속기 부품
328,,(주)명진포리텍,중구,인천광역시 중구 신흥동3가 43-43번지,37.4442308,126.6270896,032-815-5439,9,22231,22231,"플라스틱 포대, 봉투 및 유사제품 제조업",비닐제품
329,,대연식품,중구,인천광역시 중구 축항대로290번길 37 (신흥동3가),37.4448285,126.6258627,032-818-1847,3,10794,10794,두부 및 유사식품 제조업,"앙금류, 도토리묵 중간재"
330,,(주)천수식품,중구,인천광역시 중구 축항대로296번길 56-28 (신흥동3가) 외 1필지,37.4441521,126.6272877,032-819-4810,7,10794,10794,두부 및 유사식품 제조업,동부앙금 및 곡물
331,,에스더블(주),중구,인천광역시 중구 축항대로296번길 60-33(신흥동3가),37.443508,126.6258435,032-821-9022,10,28111,28111,전동기 및 발전기 제조업,모터 및 송풍기
332,,(주)청우이엔지,중구,인천광역시 중구 신흥동3가 50-9번지,37.4443155,126.6244968,032-822-2361,20,28123,"28123, 29210",배전반 및 전기 자동제어반 제조업 외 1 종,"배전반 및 전기자동제어반, 나노수발생기, 식물재배기"
333,,대덕기계,중구,인천광역시 중구 신흥동3가 42-31번지,37.4433113,126.6252701,032-832-1198,12,29241,"25929, 29142, 29241, 30399",건설 및 채광용 기계장비 제조업 외 3 종,건설기계부품
334,,우진특장,중구,인천광역시 중구 축항대로290번길 114 (신흥동3가),37.4391972,126.6209251,032-834-7547,8,30201,30201,차체 및 특장차 제조업,특장차 및 관련부품
335,,인성,중구,인천광역시 중구 축항대로296번길 56-31 (신흥동3가),37.4438489,126.6269502,032-865-2233,5,24199,24199,그 외 기타 1차 철강 제조업,"선풍기프레임, 접의식선반, 전기차충전기받침대"
336,,디와이텍,중구,인천광역시 중구 신흥동3가 42-64번지,37.4430644,126.6269716,032-872-0853,19,30399,"30391, 30392, 30399, 30400",그 외 자동차용 신품 부품 제조업 외 3 종,자동차용 브라켓트
337,,(주)삼양사 인천2공장,중구,"인천광역시 중구 축항대로290번길 121 (신흥동3가, (주)삼양웰푸드)",37.4371832,126.6213135,032-880-8111,74,10402,"10402, 10403, 10712, 10713, 10742",식물성 유지 제조업 외 4 종,식용유
338,,씨제이제일제당(주)인천3공장,중구,"인천광역시 중구 축항대로87번길 30 (항동7가, 삼양유지(주))",37.458387,126.610952,032-880-8934,45,10403,"10402, 10403",식용 정제유 및 가공유 제조업 외 1 종,식용유
339,,씨제이제일제당(주)인천1공장,중구,"인천광역시 중구 아암대로 20 (신흥동3가, CJ제일제당)",37.4432291,126.6213971,032-881-2515,164,10720,10720,설탕 제조업,설탕
340,,라이온코리아(주),중구,인천광역시 중구 서해대로140번길 23 (신흥동3가),37.4413853,126.6216063,032-881-2691,107,20421,"20421, 20422, 20423",계면활성제 제조업 외 2 종,"치약, 비누, 화장품, 세제류, 활성제"
341,,엔프라니(주),중구,"인천광역시 중구 서해대로140번길 49 (신흥동3가, CJ제일제당㈜)",37.4432291,126.6213971,032-881-2945,24,20423,20423,화장품 제조업,화장품
342,,(주)썸밑엔지니어링,중구,인천광역시 중구 연안부두로115번길 25-8 (항동7가),37.4492092,126.6003011,032-881-4306,4,31114,31114,선박 구성 부분품 제조업,선박구성부분품 등
343,,진양수산,중구,인천광역시 중구 연안부두로75번길 4 (항동7가) 3층3호,37.4526628,126.5986921,032-881-8868,1,10213,10213,수산동물 냉동품 제조업,냉동수산물
344,,성광디자인(주),중구,인천광역시 중구 도원서길 53 (유동),37.468236,126.6365754,032-881-9441,14,18119,"18113, 18119",기타 인쇄업 외 1 종,옵셋인쇄
345,,흥인목재,중구,인천광역시 중구 신흥동3가 7-288번지,37.461605,126.6336909,032-882-0900,10,16101,16101,일반 제재업,"판재,각재"
346,,우창기계공업사,중구,인천광역시 중구 연안부두로75번길 14 (항동7가),37.4522683,126.599662,032-882-0990,5,31114,31114,선박 구성 부분품 제조업,선박구성부분품 제조 및 선박수리
347,,화창종합디젤,중구,인천광역시 중구 축항대로118번길 164 (항동7가),37.4444851,126.6004426,032-882-3352,4,31114,31114,선박 구성 부분품 제조업,감속기 등 중고엔진 수리 등
348,,여수스크류,중구,인천광역시 중구 축항대로 71 (항동7가),37.4573886,126.6059212,032-882-3599,3,31114,31114,선박 구성 부분품 제조업,"선박스크류, 샤프트"
349,,(주)대성이엔지,중구,인천광역시 중구 연안부두로91번길 7 (항동7가),37.452139,126.5986199,032-882-4877,10,31114,31114,선박 구성 부분품 제조업,선박부분품
350,,농협경제지주 주식회사 축산물가공센터(인천),중구,인천광역시 중구 북성동1가 105번지,37.4617499,126.6011356,032-883-0016,27,10129,"10122, 10129, 11201",육류 기타 가공 및 저장처리업 (가금류 제외) 외 2 종,"얼음,고기가공"
351,,이디엔드에프만코리아(주),중구,인천광역시 중구 축항대로87번길 25 (항동7가),37.4586763,126.6091832,032-883-0030,5,10801,"10801, 10802",배합 사료 제조업 외 1 종,액상사료
352,,(주)휠라선,중구,인천광역시 중구 북성동1가 97-25번지,37.4787747,126.5994594,032-883-0109,17,10619,10619,기타 곡물 가공품 제조업,곡물가공
353,,(주)원양물산,중구,인천광역시 중구 축항대로 18 (북성동1가),37.4608117,126.6013507,032-883-0194,11,10213,"10213, 11201",수산동물 냉동품 제조업 외 1 종,"냉동품,얼음"
354,,광창문화사,중구,인천광역시 중구 신흥동3가 7번지,37.4650585,126.6345823,032-883-0881,4,18119,"18113, 18119",기타 인쇄업 외 1 종,인쇄물
355,,인천듸젤,중구,인천광역시 중구 연안부두로91번길 12 (항동7가),37.4517148,126.5988628,032-883-1040,3,31114,31114,선박 구성 부분품 제조업,선박부품
356,,금강중기공업사,중구,인천광역시 중구 서해대로94번길 11 (신흥동3가),37.4374966,126.618965,032-883-5030,4,29241,29241,건설 및 채광용 기계장비 제조업,토목기계장비
357,,성광인쇄소,중구,인천광역시 중구 샛골로 53 (도원동),37.4675026,126.641636,032-883-6998,5,18111,"18111, 18113, 18119",경 인쇄업 외 2 종,인쇄물
358,,대신기계,중구,인천광역시 중구 연안부두로99번길 11 (항동7가),37.4517925,126.5992344,032-884-0488,3,31114,31114,선박 구성 부분품 제조업,선박구성 부분품
359,,풍성산기,중구,인천광역시 중구 연안부두로107번길 20-13 (항동7가),37.4498143,126.5999632,032-884-1448,3,31114,31114,선박 구성 부분품 제조업,선박구성부분품
360,,(주)인천다온,중구,인천광역시 중구 축항대로296번길 56-27 (신흥동3가),37.4437492,126.6272027,032-884-1507,5,24199,24199,그 외 기타 1차 철강 제조업,화스너
361,,토담식품,중구,인천광역시 중구 연안부두로107번길 10-15 (항동7가),37.4496144,126.598956,032-884-4888,3,10212,10212,수산동물 건조 및 염장품 제조업,"어리굴젓, 연근, 밴댕이젓"
362,,원일종합설비,중구,인천광역시 중구 연안부두로115번길 17-12 (항동7가),37.4495904,126.5996628,032-885-4101,19,31114,31114,선박 구성 부분품 제조업,선박부분품
363,,(주)경인기계,중구,"인천광역시 중구 서해대로 307 (항동7가, 경인기계㈜)",37.4549098,126.6276923,032-885-9001,80,29172,"29171, 29172, 31113",공기 조화장치 제조업 외 2 종,냉각탑
364,,(주)디앤알라이팅,중구,"인천광역시 중구 축항대로296번길 60-35, 2층 (신흥동3가)",37.4435503,126.625736,032-886-0300,4,28422,28422,일반용 전기 조명장치 제조업,LED조명기구
365,,(주)크리스탈옵틱,중구,"인천광역시 중구 서해대로180번길 27, 3층 (신흥동3가)",37.4434332,126.6249829,032-886-5254,5,27309,"27199, 27309",기타 광학기기 제조업 외 1 종,"의료용확대경, 의료용라이트"
366,,(주)현대로지스앤팩,중구,"인천광역시 중구 서해대로210번길 39, (주)현대로지스앤팩 (신흥동3가)",37.4453519,126.6276306,032-886-6080,17,16232,16232,"목재 포장용 상자, 드럼 및 유사용기 제조업","목상자, 파렛트"
367,,(주)오성기계,중구,인천광역시 중구 축항대로22번길 2 (북성동1가),37.4606479,126.6016477,032-886-6854,10,31114,31114,선박 구성 부분품 제조업,선박부품
368,,자연앤푸드,중구,인천광역시 중구 연안부두로107번길 42 (항동7가),37.4494358,126.6020796,032-886-9909,4,10301,10301,김치류 제조업,김치
369,,쌍용레미콘(주)인천사업소,중구,"인천광역시 중구 서해대로93번길 26 (항동7가, 쌍용양회공업㈜)",37.4397038,126.6143418,032-887-2651,20,23322,23322,레미콘 제조업,레미콘
370,,주식회사 비티모터스,중구,인천광역시 중구 서해대로180번길 9(신흥동3가),37.4446993,126.6232783,032-887-3230,0,30201,30201,차체 및 특장차 제조업,특장차제조
371,,은성엔지니어링,중구,인천광역시 중구 축항대로291번길 36 (신흥동3가),37.4510755,126.6289229,032-887-3305,3,29111,"29111, 31114",내연기관 제조업 외 1 종,해상선박용엔진
372,,프로금속,중구,인천광역시 중구 항동7가 65번지,37.4498096,126.5996735,032-887-4259,3,31114,31114,선박 구성 부분품 제조업,선박부분품
373,,(주)거산피엔에프,중구,"인천광역시 중구 서해대로210번길 35(신흥동3가, (주)거산피엔에프)",37.4456527,126.6272979,032-887-5741,20,25113,"25113, 25114",육상 금속 골조 구조재 제조업 외 1 종,"발전배관, SPOOL제작"
374,,(주)비앤티,중구,"인천광역시 중구 축항대로296번길 56-24, 2층 (신흥동3가)",37.4440462,126.6275544,032-887-7119,9,27213,"25994, 27112, 27213, 28903, 29193","물질 검사, 측정 및 분석기구 제조업 외 4 종",자동발열방역시스템기 등
375,,미소식품 (주),중구,인천광역시 중구 서해대로93번길 14-6(항동7가),37.4387285,126.6157703,032-887-8133,12,10213,10213,수산동물 냉동품 제조업,수산동물냉동품 제조(순살고등어)
376,,구구수산유통,중구,"인천광역시 중구 연안부두로75번길 4, 1층 (항동7가)",37.4526628,126.5986921,032-887-9989,13,10219,10219,기타 수산동물 가공 및 저장 처리업,"고등어포, 삼치포, 낙지채 등"
377,,태성조기,중구,인천광역시 중구 연안부두로91번길 12 (항동7가),37.4517148,126.5988628,032-888-2348,3,31114,31114,선박 구성 부분품 제조업,선박구성부분품
378,,경원물산(주),중구,인천광역시 중구 연안부두로99번길 15 (항동7가),37.4514492,126.5994274,032-888-4202,17,10213,10213,수산동물 냉동품 제조업,냉동품
379,,평화자동차정비 주식회사,중구,인천광역시 중구 서해대로140번길 8 (신흥동3가),37.4402568,126.6201609,032-888-4457,21,29241,29241,건설 및 채광용 기계장비 제조업,토목건설기계
380,,제일사료(주)인천공장,중구,인천광역시 중구 서해대로209번길 69 (항동7가),37.4491096,126.615142,032-888-4461,70,10801,"10801, 10802",배합 사료 제조업 외 1 종,사료
381,,(주)광성기계,중구,인천광역시 중구 연안부두로115번길 21-4 (항동7가),37.4491351,126.5999873,032-888-6468,6,31114,31114,선박 구성 부분품 제조업,선박부분품
382,,(주)신안테크,중구,인천광역시 중구 축항대로296번길 60-26 (신흥동3가),37.4436603,126.626575,032-888-6930,6,22249,"22249, 29176",기타 기계.장비 조립용 플라스틱 제품 제조업 외 1 종,플라스틱 열교환기
383,,(주)오대양씨푸드,중구,인천광역시 중구 연안부두로107번길 15-12 (항동7가),37.4509105,126.5994427,032-888-7885,23,10213,10213,수산동물 냉동품 제조업,"알탕, 해물탕 외"
384,,(주)농가에프엔씨,중구,인천광역시 중구 축항대로296번길 60-12 (신흥동3가),37.4430441,126.6281424,032-888-7941,0,10402,"10402, 10619, 10749",식물성 유지 제조업 외 2 종,"참기름, 고춧가루, 참깨"
385,,(주)동림수산,중구,인천광역시 중구 항동7가 108-3번지,37.4504936,126.6039082,032-888-9401,57,10219,"10211, 10213, 10219",기타 수산동물 가공 및 저장 처리업 외 2 종,냉동품
386,,희창물산(주),중구,"인천광역시 중구 축항대로86번길 138 (항동7가, 희창물산㈜)",37.4453054,126.5990608,032-889-0381,22,10213,10213,수산동물 냉동품 제조업,냉동품
387,,충북기공사,중구,인천광역시 중구 서해대로 130 (신흥동3가),37.4429093,126.626175,032-889-0845,3,31114,31114,선박 구성 부분품 제조업,선박구성부분품
388,,(주)동보스틸,중구,인천광역시 중구 서해대로180번길 51 (신흥동3가),37.4424805,126.6277794,032-889-1212,10,25113,"25113, 25114",육상 금속 골조 구조재 제조업 외 1 종,플랜트배관
389,,일해냉동,중구,인천광역시 중구 항동7가 60번지,37.4561542,126.6029156,032-889-2265,7,10213,"10213, 11201",수산동물 냉동품 제조업 외 1 종,냉동품
390,,천호보링공업사,중구,인천광역시 중구 서해대로 130 (신흥동3가),37.4429093,126.626175,032-889-2755,18,29241,29241,건설 및 채광용 기계장비 제조업,토목기계장비
391,,브이씨센타,중구,인천광역시 중구 연안부두로107번길 23 (항동7가),37.4506188,126.6002492,032-889-4399,1,31114,31114,선박 구성 부분품 제조업,선박구성부품
392,,주식회사 우신에프에스,중구,인천광역시 중구 항동7가 58-170번지 외 1필지,37.4498321,126.6011156,032-889-4494,19,10211,10211,"수산동물 훈제, 조리 및 유사 조제식품 제조업","자숙전복, 자숙홍합, 자숙문어"
393,,수협인천가공물류센터,중구,인천광역시 중구 축항대로 50 (항동7가),37.4579552,126.6036867,032-890-4627,34,10213,"10212, 10213, 11201",수산동물 냉동품 제조업 외 2 종,"냉동품,얼음"
394,,씨제이제일제당(주)인천2공장,중구,"인천광역시 중구 서해대로140번길 49 (신흥동3가, CJ제일제당㈜)",37.4432291,126.6213971,032-890-9504,205,10403,"10402, 10403, 10749, 10802",식용 정제유 및 가공유 제조업 외 3 종,"식용유,참기름,사료"
395,,씨제이피드앤케어(주)인천공장,중구,인천광역시 중구 서해대로140번길 49 (신흥동3가),37.4403858,126.6252664,032-890-9671,55,10801,10801,배합 사료 제조업,배합사료
396,,씨제이제일제당(주)인천냉동식품공장,중구,"인천광역시 중구 서해대로 168 (신흥동3가, 씨제이제일제당㈜)",37.4427623,126.622491,032-890-9901,180,10219,"10122, 10129, 10219, 10613, 10711, 10712, 10730, 10751, 10759, 10793",기타 수산동물 가공 및 저장 처리업 외 9 종,냉동식품
397,,이유푸드(주),중구,"인천광역시 중구 축항대로290번길 155 (신흥동3가, 이유푸드인천공장)",37.4349334,126.6202026,032-891-2627,29,10129,"10121, 10122, 10129, 10751, 10759",육류 기타 가공 및 저장처리업 (가금류 제외) 외 4 종,"육가공품, 도시락"
398,,광진푸드,중구,인천광역시 중구 서해대로93번길 14-16(항동7가),37.4385241,126.6162752,070-4647-4788,18,10219,10219,기타 수산동물 가공 및 저장 처리업,"쭈꾸미, 낙지볶음"
399,,세움기술(주),동구,인천광역시 동구 방축로167번길 11 (송림동) 3층,37.4811729,126.6634948,,3,28422,"28123, 28422",일반용 전기 조명장치 제조업 외 1 종,가로등자동점멸기
400,,에딘스(EDINS),동구,인천광역시 동구 방축로177번길 9 (송림동) 3층,37.4805417,126.6644261,,2,25999,25999,그 외 기타 분류 안된 금속 가공 제품 제조업,가변 팻도어(반려동물 출입문)
401,,하이스쿨 학생복,동구,"인천광역시 동구 화도진로7번길 20-8, 2층(금곡동)",37.473758,126.6351731,,2,14192,14192,"근무복, 작업복 및 유사의복 제조업",교복
402,,씨에프씨글로벌 주식회사,동구,"인천광역시 동구 샛골로 228, 1,2층 일부(송림동)",37.4830343,126.645444,02-6959-3402,113,14111,"14111, 14192",남자용 겉옷 제조업 외 1 종,남자 겉옷
403,,(주)오웰스틸,동구,"인천광역시 동구 방축로23번길 55, 1층 일부 (송현동)",37.4893474,126.6509027,031-454-2117,3,25112,"25112, 25924",구조용 금속 판제품 및 공작물 제조업 외 1 종,스틸방수판
404,,해천이엔씨(주),동구,"인천광역시 동구 방축로9번길 57-16 (송현동, 제일종합상사)",37.4911726,126.6484952,032-1577-6411,15,25932,"13221, 13224, 13229, 13921, 13991, 13999, 14111, 14112, 14192, 14193, 14199, 14419, 14491, 14499, 15129, 22191, 22192, 22299, 24222, 25113, 25114, 25931, 25932, 25933, 25994, 25995, 25999, 26529, 27199, 28111, 28422, 28429, 29120, 29131, 29132, 29180, 29194, 30201, 30202, 30203, 31991, 32091, 33999",일반철물 제조업 외 42 종,"FRP 조립형 방어진지, 도로사각진지, 밀차분무기, 엔진바이브레터등"
